2038	Nome Programa
2101	Democracia e Aperfei?oamento da Gest?o P?blica
2044	Programa de Gest?o e Manuten??o da Presid?ncia da Rep?blica
2059	Programa de Gest?o e Manuten??o da Presid?ncia da Rep?blica
2025	Programa de Gest?o e Manuten??o da Presid?ncia da Rep?blica
2017	Democracia e Aperfei?oamento da Gest?o P?blica
2102	Democracia e Aperfei?oamento da Gest?o P?blica
2104	Programa de Gest?o e Manuten??o da Secretaria de Direitos Humanos
2016	Programa de Gest?o e Manuten??o da Secretaria de Pol?ticas para as Mulheres
2103	Programa de Gest?o e Manuten??o da Presid?ncia da Rep?blica
2034	Programa de Gest?o e Manuten??o da Secretaria de Pol?ticas de Promo??o da Igualdade Racial
2074	Enfrentamento ao Racismo e Promo??o da Igualdade Racial
2023	Programa de Gest?o e Manuten??o da Presid?ncia da Rep?blica
2047	Com?rcio e Servi?os
2125	Democracia e Aperfei?oamento da Gest?o P?blica
2032	Democracia e Aperfei?oamento da Gest?o P?blica
2105	Democracia e Aperfei?oamento da Gest?o P?blica
2028	Programa de Gest?o e Manuten??o do Minist?rio da Agricultura, Pecu?ria e Abastecimento
2042	Defesa Agropecu?ria
2014	Defesa Agropecu?ria
2069	Agropecu?ria Sustent?vel, Abastecimento e Comercializa??o
2106	Seguran?a Alimentar e Nutricional
2021	Programa de Gest?o e Manuten??o do Minist?rio da Ci?ncia, Tecnologia e Inova??o
2050	Ci?ncia, Tecnologia e Inova??o
2056	Mudan?as Clim?ticas
2040	Ci?ncia, Tecnologia e Inova??o
2041	Pol?tica Nuclear
2055	Gest?o Estrat?gica da Geologia, da Minera??o e da Transforma??o Mineral
2110	Desenvolvimento Produtivo
2039	Programa de Gest?o e Manuten??o do Minist?rio da Fazenda
751	Gest?o da Pol?tica Econ?mica e Estabilidade do Sistema Financeiro Nacional
2109	Democracia e Aperfei?oamento da Gest?o P?blica
903	Democracia e Aperfei?oamento da Gest?o P?blica
2030	Programa de Gest?o e Manuten??o do Minist?rio da Educa??o
2060	Educa??o B?sica
2031	Educa??o B?sica
2124	Educa??o Superior - Gradua??o, P?s-Gradua??o, Ensino, Pesquisa e Extens?o
2015	Educa??o Superior - Gradua??o, P?s-Gradua??o, Ensino, Pesquisa e Extens?o
2068	Aperfei?oamento do Sistema ?nico de Sa?de (SUS)
2112	Saneamento B?sico
2066	Educa??o Superior - Gradua??o, P?s-Gradua??o, Ensino, Pesquisa e Extens?o
2063	Educa??o Profissional e Tecnol?gica
2052	Educa??o Profissional e Tecnol?gica
2121	Educa??o Superior - Gradua??o, P?s-Gradua??o, Ensino, Pesquisa e Extens?o
2024	Desenvolvimento Produtivo
2020	Programa de Gest?o e Manuten??o do Minist?rio do Desenvolvimento, Ind?stria e Com?rcio Exterior
2070	Programa de Gest?o e Manuten??o do Minist?rio da Justi?a
2065	Programa de Gest?o e Manuten??o do Minist?rio da Justi?a
151	Prote??o e Promo??o dos Direitos dos Povos Ind?genas
2119	Programa de Gest?o e Manuten??o do Minist?rio da Justi?a
2033	Programa de Gest?o e Manuten??o do Minist?rio de Minas e Energia
2067	Programa de Gest?o e Manuten??o do Minist?rio de Minas e Energia
2022	Programa de Gest?o e Manuten??o do Minist?rio de Minas e Energia
2053	Combust?veis
2061	Programa de Gest?o e Manuten??o do Minist?rio de Minas e Energia
2114	Previd?ncia Social
2037	Previd?ncia Social
2012	Previd?ncia Social
2118	Programa de Gest?o e Manuten??o do Minist?rio da Previd?ncia Social
2057	Programa de Gest?o e Manuten??o do Minist?rio das Rela??es Exteriores
2115	Pol?tica Externa
2127	Prote??o e Promo??o dos Direitos dos Povos Ind?genas
2071	Programa de Gest?o e Manuten??o do Minist?rio do Trabalho e Emprego
